Accessibility Namespace	Represents a managed wrapper for the Component Object Model (COM) accessibility interface.
Microsoft.Activities.Build Namespace	Classes related to workflow build tasks.
Microsoft.Activities.Build.Debugger Namespace	Classes related to the build debugger.
Microsoft.Activities.Build.Expressions Namespace	Classes related to build expressions.
Microsoft.Activities.Build.Validation Namespace	The Microsoft.Activities.Build.Validation provides classes related to build validation.
Microsoft.Build.BuildEngine Namespace	Represents the MSBuild engine. For more information, see MSBuild.
Microsoft.Build.Construction Namespace	Contains types that the MSBuild object model uses to construct project roots with unevaluated values. Each project root corresponds to a project or targets file. For information, see MSBuild.
Microsoft.Build.Conversion Namespace	Contains types that Visual Studio uses to convert project files from an older version of Visual Studio.
Microsoft.Build.Debugging Namespace	Contains type for managing the debugger.
Microsoft.Build.Evaluation Namespace	Contains types that the MSBuild object model uses to evaluate projects. Each project is associated with one or more project roots. For information, see MSBuild.
Microsoft.Build.Exceptions Namespace	Contains exception types that may be thrown during the build process.
Microsoft.Build.Execution Namespace	Contains types that the MSBuild object model uses to build projects. For information, see MSBuild.
Microsoft.Build.Framework Namespace	Contains the types that define how tasks and loggers interact with the MSBuild engine. For information, see MSBuild.
Microsoft.Build.Framework.XamlTypes Namespace	Classes used to represent XAML types parsed from files, rules, and other sources.
Microsoft.Build.Logging Namespace	Contains types used for logging the progress of a build. For information, see MSBuild.
Microsoft.Build.Tasks Namespace	Contains the implementation of all tasks shipping with MSBuild. For information, see MSBuild.
Microsoft.Build.Tasks.Deployment.Bootstrapper Namespace	Contains classes used internally by MSBuild.
Microsoft.Build.Tasks.Deployment.ManifestUtilities Namespace	Contains classes that MSBuild uses.
Microsoft.Build.Tasks.Hosting Namespace	Contains classes used internally by MSBuild.
Microsoft.Build.Tasks.Windows Namespace	Contains the implementation of all tasks shipping with MSBuild. The types in this namespace support the Windows Presentation Foundation (WPF) infrastructure and are not intended to be used directly from your code.
Microsoft.Build.Tasks.Xaml Namespace	Provides classes related to XAML build tasks.
Microsoft.Build.Utilities Namespace	Provides helper classes that you can use to create your own MSBuild loggers and tasks. For information, see MSBuild.
Microsoft.CSharp Namespace	Contains classes that support compilation and code generation using the C# language.
Microsoft.CSharp.Activities Namespace	Classes related to C# activities.
Microsoft.CSharp.RuntimeBinder Namespace	Provides classes and interfaces that support interoperation between Dynamic Language Runtime and C#.
Microsoft.JScript Namespace	Contains classes that support compilation and code generation using the JScript language.
Microsoft.JScript.Vsa Namespace	Contains interfaces that allow you to integrate Script for the.NET Framework script engines into JScript, and to compile and execute code at run time.
Microsoft.SqlServer.Server Namespace	This is a helper library for Microsoft.Data.SqlClient, enabling cross framework support of UDT types. The library implements the required types on .NET Standard 2.0 for compatibility with .NET and .NET Core target frameworks and type forwards them when targeting .NET Framework. Contains classes, interfaces, and enumerations that are specific to the integration of the Microsoft .NET Framework common language runtime (CLR) into Microsoft SQL Server, and the SQL Server database engine process execution environment. Contains classes, interfaces, and enumerations that are specific to the integration of the Microsoft .NET Framework common language runtime (CLR) into Microsoft SQL Server, and the SQL Server database engine process execution environment.
Microsoft.VisualBasic Namespace	Contains types that support the Visual Basic Runtime in Visual Basic.
Microsoft.VisualBasic.Activities Namespace	Provides classes related to Visual Basic activities.h.
Microsoft.VisualBasic.Activities.XamlIntegration Namespace	Provides classes related to Visual Basic XAML integration.
Microsoft.VisualBasic.ApplicationServices Namespace	Contains types that support the Visual Basic Application Model and provide access to application information.
Microsoft.VisualBasic.Compatibility.VB6 Namespace	Contains functions and objects provided use by the tools for upgrading from Visual Basic 6.0 to Visual Basic 2008.
Microsoft.VisualBasic.CompilerServices Namespace	Contains internal-use only types that support the Visual Basic compiler.
Microsoft.VisualBasic.Devices Namespace	Contains types that support the My objects related to devices in Visual Basic.
Microsoft.VisualBasic.FileIO Namespace	Contains types that support the My file system object in Visual Basic.
Microsoft.VisualBasic.Logging Namespace	Contains types that support the My logging objects in Visual Basic and provides a simple log listener that directs logging output to file.
Microsoft.VisualBasic.MyServices Namespace	Contains types that support My in Visual Basic.
Microsoft.VisualBasic.MyServices.Internal Namespace	Contains internal-use only types that support My in Visual Basic.
Microsoft.VisualC Namespace	Contains classes that support compilation and code generation using the C++ language.
Microsoft.VisualC.StlClr Namespace	Contains the classes, interfaces, and enumerators that are used to implement the STL/CLR Library.
Microsoft.VisualC.StlClr.Generic Namespace	Contains the classes, interfaces, and iterators that are used to implement the generic interface to the STL/CLR Library. By using this generic interface, other .NET languages, such as C# and Visual Basic, can call code that is written using STL/CLR.
Microsoft.Win32 Namespace	Provides two types of classes: those that handle events raised by the operating system and those that manipulate the system registry.
Microsoft.Win32.SafeHandles Namespace	Contains classes that are abstract derivations of safe handle classes that provide common functionality supporting file and operating system handles.
Microsoft.Windows.Input Namespace	Contains interfaces for preview commands in a Microsoft Ribbon for WPF control.
Microsoft.Windows.Themes Namespace	Provides exposure to the set of themes defined by Windows Presentation Foundation. In WPF, a theme is a set of resources, defined at the system level, which provide the default appearance for controls and other visual elements of an application. WPF themes are created using styles and include Luna, Aero, Royale, and Classic. Only the client area of a WPF application uses these themes; the appearance of the window border and buttons that form the window chrome is controlled by the Win32 theme service.
System Namespace	Contains fundamental classes and base classes that define commonly used value and reference data types, events and event handlers, interfaces, attributes, and processing exceptions.
System.Activities Namespace	Provides classes related to system activities.
